Date,Pays
1996-01-01,Etats-Unis
1996-01-01,Royaume-Uni
1997-01-01,Etats-Unis
1997-01-01,Royaume-Uni
1997-01-01,Danemark
1998-01-01,Etats-Unis
1998-01-01,Royaume-Uni
1999-01-01,Egypte
2000-01-01,Etats-Unis
2000-01-01,Nouvelle-Zelande
2000-01-01,Japon
2001-01-01,Etats-Unis
2001-01-01,Japon
2002-01-01,Etats-Unis
2002-01-01,Japon
2002-01-01,Suisse
2003-01-01,Etats-Unis
2004-01-01,Israel
2004-01-01,Etats-Unis
2005-01-01,France
2005-01-01,Etats-Unis
2006-01-01,Etats-Unis
2007-01-01,Allemagne
2008-01-01,Japon
2008-01-01,Etats-Unis
2009-01-01,Etats-Unis
2009-01-01,Israel
2010-01-01,Etats-Unis
2010-01-01,Japon
2011-01-01,Israel
2012-01-01,Etats-Unis
2013-01-01,Autriche
2013-01-01,Etats-Unis
2013-01-01,Royaume-Uni
2013-01-01,Israel
2014-01-01,Etats-Unis
2014-01-01,Allemagne
2015-01-01,Suede
2015-01-01,Etats-Unis
2015-01-01,Turquie
2016-01-01,France
2016-01-01,Royaume-Uni
2016-01-01,Pays-Bas
2017-01-01,Suisse
2017-01-01,Allemagne
2017-01-01,Royaume-Uni
2018-01-01,Etats-Unis
2018-01-01,Royaume-Uni
2019-01-01,Etats-Unis
2019-01-01,Royaume-Uni
2019-01-01,Japon
2020-01-01,France
2020-01-01,Etats-Unis
1901-01-01,Allemagne
1902-01-01,Royaume-Uni
1903-01-01,Danemark
1904-01-01,Russie
1905-01-01,Allemagne
1906-01-01,Italie
1906-01-01,Espagne
1907-01-01,France
1908-01-01,Russie
1908-01-01,Allemagne
1909-01-01,Suisse
1910-01-01,Allemagne
1911-01-01,Suede
1912-01-01,France
1913-01-01,France
1914-01-01,Autriche
1915-01-01,NONE
1916-01-01,NONE
1917-01-01,NONE
1918-01-01,NONE
1919-01-01,Belgique
1920-01-01,Danemark
1921-01-01,NONE
1922-01-01,Royaume-Uni
1922-01-01,Allemagne
1923-01-01,Canada
1923-01-01,Royaume-Uni
1924-01-01,Pays-Bas
1925-01-01,NONE
1926-01-01,Danemark
1927-01-01,Autriche
1928-01-01,France
1929-01-01,Pays-Bas
1929-01-01,Royaume-Uni
1930-01-01,Autriche
1931-01-01,Allemagne
1932-01-01,Royaume-Uni
1933-01-01,Etats-Unis
1934-01-01,Etats-Unis
1935-01-01,Allemagne
1936-01-01,Royaume-Uni
1936-01-01,Allemagne
1937-01-01,Hongrie
1938-01-01,Belgique
1939-01-01,Allemagne
1940-01-01,NONE
1941-01-01,NONE
1942-01-01,NONE
1943-01-01,Danemark
1943-01-01,Etats-Unis
1944-01-01,Etats-Unis
1945-01-01,Royaume-Uni
1945-01-01,Australie
1946-01-01,Etats-Unis
1947-01-01,Etats-Unis
1947-01-01,Argentine
1948-01-01,Suisse
1949-01-01,Suisse
1949-01-01,Portugal
1950-01-01,Etats-Unis
1950-01-01,Suisse
1951-01-01,Afrique du Sud
1952-01-01,Etats-Unis
1953-01-01,Royaume-Uni
1953-01-01,Etats-Unis
1954-01-01,Etats-Unis
1955-01-01,Suede
1956-01-01,France
1956-01-01,Etats-Unis
1956-01-01,Allemagne
1957-01-01,Suisse
1957-01-01,Italie
1958-01-01,Etats-Unis
1959-01-01,Espagne
1959-01-01,Etats-Unis
1960-01-01,Australie
1960-01-01,Royaume-Uni
1961-01-01,Etats-Unis
1962-01-01,Royaume-Uni
1962-01-01,Etats-Unis
1963-01-01,Australie
1963-01-01,Royaume-Uni
1964-01-01,Etats-Unis
1964-01-01,Allemagne
1965-01-01,France
1966-01-01,Etats-Unis
1967-01-01,Suede
1967-01-01,Etats-Unis
1968-01-01,Etats-Unis
1969-01-01,Allemagne
1969-01-01,Etats-Unis
1970-01-01,Royaume-Uni
1970-01-01,Suede
1970-01-01,Etats-Unis
1971-01-01,Etats-Unis
1972-01-01,Etats-Unis
1972-01-01,Royaume-Uni
1973-01-01,Autriche
1973-01-01,Pays-Bas
1974-01-01,Belgique
1974-01-01,Etats-Unis
1974-01-01,Roumanie
1975-01-01,Etats-Unis
1975-01-01,Italie
1976-01-01,Etats-Unis
1977-01-01,France
1977-01-01,Pologne
1977-01-01,Etats-Unis
1978-01-01,Suisse
1978-01-01,Etats-Unis
1979-01-01,Etats-Unis
1979-01-01,Royaume-Uni
1980-01-01,Etats-Unis
1980-01-01,Venezuela
1980-01-01,France
1981-01-01,Etats-Unis
1981-01-01,Suede
1982-01-01,Suede
1982-01-01,Royaume-Uni
1983-01-01,Etats-Unis
1984-01-01,Danemark
1984-01-01,Allemagne
1984-01-01,Argentine
1985-01-01,Etats-Unis
1986-01-01,Etats-Unis
1986-01-01,Italie
1987-01-01,Japon
1988-01-01,Royaume-Uni
1988-01-01,Etats-Unis
1989-01-01,Etats-Unis
1990-01-01,Etats-Unis
1991-01-01,Allemagne
1992-01-01,Suisse
1992-01-01,Etats-Unis
1993-01-01,Royaume-Uni
1993-01-01,Etats-Unis
1994-01-01,Etats-Unis
1995-01-01,Etats-Unis
1995-01-01,Allemagne
1996-01-01,Australie
1996-01-01,Suisse
1997-01-01,Etats-Unis
1998-01-01,Etats-Unis
1999-01-01,Allemagne
1999-01-01,Etats-Unis
2000-01-01,Suede
2000-01-01,Etats-Unis
2001-01-01,Etats-Unis
2001-01-01,Royaume-Uni
2002-01-01,Afrique du Sud
2002-01-01,Etats-Unis
2002-01-01,Royaume-Uni
2003-01-01,Etats-Unis
2003-01-01,Royaume-Uni
2004-01-01,Etats-Unis
2005-01-01,Australie
2006-01-01,Etats-Unis
2007-01-01,Etats-Unis
2007-01-01,Royaume-Uni
2008-01-01,Allemagne
2008-01-01,France
2009-01-01,Etats-Unis
2010-01-01,Royaume-Uni
2011-01-01,France
2011-01-01,Etats-Unis
2011-01-01,Canada
2012-01-01,Royaume-Uni
2012-01-01,Japon
2013-01-01,Etats-Unis
2013-01-01,Allemagne
2014-01-01,Royaume-Uni
2014-01-01,Etats-Unis
2014-01-01,Norvege
2015-01-01,Irlande
2015-01-01,Japon
2015-01-01,Chine
2016-01-01,Japon
2017-01-01,Etats-Unis
2018-01-01,Etats-Unis
2018-01-01,Japon
2019-01-01,Etats-Unis
2019-01-01,Royaume-Uni
2020-01-01,Royaume-Uni
2020-01-01,Etats-Unis
1966-01-01,Etats-Unis
1967-01-01,Royaume-Uni
1968-01-01,Etats-Unis
1969-01-01,Etats-Unis
1970-01-01,Royaume-Uni
1971-01-01,Etats-Unis
1972-01-01,Pays-Bas
1973-01-01,Etats-Unis
1974-01-01,Etats-Unis
1975-01-01,Etats-Unis
1976-01-01,Israel
1976-01-01,Etats-Unis
1977-01-01,Etats-Unis
1978-01-01,Etats-Unis
1979-01-01,Canada
1980-01-01,Royaume-Uni
1981-01-01,Royaume-Uni
1982-01-01,Etats-Unis
1983-01-01,Etats-Unis
1984-01-01,Suisse
1985-01-01,Etats-Unis
1986-01-01,Etats-Unis
1987-01-01,Etats-Unis
1988-01-01,Etats-Unis
1989-01-01,Canada
1990-01-01,Etats-Unis
1991-01-01,Royaume-Uni
1992-01-01,Etats-Unis
1993-01-01,Etats-Unis
1994-01-01,Etats-Unis
1994-01-01,Inde
1995-01-01,Venezuela
1996-01-01,Israel
1997-01-01,Etats-Unis
1998-01-01,Etats-Unis
1999-01-01,Etats-Unis
2000-01-01,Chine
2001-01-01,Norvege
2002-01-01,Etats-Unis
2002-01-01,Israel
2003-01-01,Etats-Unis
2004-01-01,Etats-Unis
2005-01-01,Danemark
2006-01-01,Etats-Unis
2007-01-01,Etats-Unis
2007-01-01,Grece
2007-01-01,France
2008-01-01,Etats-Unis
2009-01-01,Etats-Unis
2010-01-01,Royaume-Uni
2011-01-01,Israel
2011-01-01,Etats-Unis
2012-01-01,Italie
2012-01-01,Israel
2013-01-01,Etats-Unis
2014-01-01,Etats-Unis
2015-01-01,Etats-Unis
2016-01-01,Royaume-Uni
2017-01-01,Etats-Unis
2018-01-01,France
2018-01-01,Canada
2019-01-01,Etats-Unis
