Année,Nom(s),Motivation(s)
2002,"Ronald L. Rivest ( États-Unis), Adi Shamir ( Israël) et Leonard M. Adleman ( États-Unis)",Cryptographie à clef publique et système RSA.
2003,Alan Kay ( États-Unis),Programmation orientée objet et création du langage Smalltalk.
2004,Vinton G. Cerf ( États-Unis) et Robert E. Kahn ( États-Unis),"Réseaux, TCP/IP."
2005,Peter Naur ( Danemark),"Pour des contributions fondamentales à la conception des langages de programmation et à la définition d'Algol 60, pour la conception des compilateurs et pour l'art et la pratique de la programmation informatique."
2006,Frances Allen ( États-Unis),Optimisation des compilateurs.
2007,"Edmund M. Clarke ( États-Unis), Allen Emerson ( États-Unis) et Joseph Sifakis ( Grèce/ France)",Pour leurs travaux sur le model checking.
2008,Barbara Liskov ( États-Unis),Pour la conception de langages de programmation et la méthodologie polymorphe.
2009,Charles P. Thacker ( États-Unis),Pour le travail effectué tout au long de sa carrière dont le Xerox Alto.
2010,Leslie Valiant ( Royaume-Uni),"Pour le travail en apprentissage (notamment l'apprentissage PAC), en théorie de la complexité, en calcul distribué et parallèle."
2011,Judea Pearl ( Israël/ États-Unis),Pour des contributions fondamentales à l'intelligence artificielle par le développement de l'analyse probabiliste et du raisonnement causal.
2012,Silvio Micali ( Italie/ États-Unis) et Shafi Goldwasser ( Israël/ États-Unis),"Pour leur travaux fondateurs sur la cryptologie et la vérification de preuve, basés de la théorie de la complexité. En particulier l'introduction des systèmes de preuves interactives (qui ont mené au théorème PCP)."
2013,Leslie Lamport ( États-Unis),"Pour ses contributions fondamentales théoriques et appliquées dans les systèmes distribués et concurrents, notamment en inventant des concepts tels que la causalité et les horloges logiques, […] et la consistance séquentielle[6]."
2014,Michael Stonebraker ( États-Unis),Contributions fondamentales pour les systèmes de gestions de bases de données (SGBD)[7]. Inventeur de PostgreSQL.
2015,Whitfield Diffie[8] ( États-Unis) et Martin Hellman[9] ( États-Unis),Pour leurs contributions à la cryptographie contemporaine (créateurs de la cryptographie asymétrique).
2016,Tim Berners-Lee ( Royaume-Uni),"Pour avoir inventé le World Wide Web, le premier navigateur web et les protocoles et algorithmes permettant le passage à l'échelle du Web[10]."
2017,David Patterson ( États-Unis) et John Hennessy ( États-Unis),Pour avoir été les pionniers d'une approche systématique et quantitative de la conception et de l'évaluation d'architectures informatiques ayant un impact durable sur l'industrie des microprocesseurs[11].
2018,"Yann Le Cun ( France), Yoshua Bengio ( Canada) et Geoffrey Hinton ( Canada)",Pour les percées conceptuelles et techniques qui ont fait des réseaux neuronaux profonds une composante essentielle de l'informatique[12].
2019,Patrick Hanrahan ( États-Unis) et Edwin Catmull ( États-Unis),Pour leurs contributions fondamentales à l'infographie tridimensionnelle et l'impact révolutionnaire de ces techniques sur les effets spéciaux numériques dans la réalisation de films et autres applications[13].
